		مخزون جده		مخزون الرياض						
رقم الصنف	الوحدة	الكميه	التكلفه	الكميه	التكلفه					
AR_22278	كرتون	4.5	540	0	0					
AR_22280	كرتون	3	478.999695	0	0					
AR_22281	كرتون	3.75	450	0	0					
AR_22294	كرتون	0.5	60	0	0					
AR_22348	كرتون	2.75	472.1427425	0	0					
AR_22413	كرتون	4.5	324	0	0					
AR_22414	كرتون	3	216	0	0					
AR_22415	كرتون	8	576	0	0					
AR_22418	كرتون	7	1070.039831	0	0					
AR_22419	كرتون	8	1222.902664	0	0					
AR_22421	كرتون	2	305.725666	0	0					
AR_22422	كرتون	2	305.725666	0	0					
AR_22423	كرتون	1.5	229.2942495	0	0					
AR_22507	كرتون	4	288	0	0					
AR_22509	كرتون	2	144	0	0					
AR_22510	كرتون	5	360	0	0					
AR_22563	كرتون	1	185.972448	0	0					
AR_22564	كرتون	1	248.253017	0	0					
AR_22639	كرتون	3	395.257959	0	0					
AR_22646	كرتون	4	451.450048	0	0					
AR_22725	كرتون	0.5	87.615604	0	0					
AR_22726	كرتون	0.5	87.615604	0	0					
AR_22727	كرتون	0.5	73.92947	0	0					
AR_22728	كرتون	1.5	294.3432075	0	0					
AR_22730	كرتون	2.5	438.41063	0	0					
AR_22733	كرتون	4.5	797.1629445	0	0					
AR_22739	كرتون	0.5	88.5736605	0	0					
AR_22740	كرتون	0.5	88.5736605	0	0					
AR_22745	كرتون	4.5	3096.263718	0	0					
AR_22750	كرتون	0.5	90.042285	0	0					
AR_22753	كرتون	1.25	275.1950438	0	0					
AR_22755	كرتون	1	231.949211	0	0					
AR_22767	كرتون	4.5	923.3259615	0	0					
AR_22768	كرتون	2	434.452692	0	0					
AR_22853	كرتون	1	141.471855	0	0					
AR_22859	كرتون	9.5	1708.711563	9	1618.779375					
AR_22860	كرتون	2	350.130632	0	0					
AR_22871	كرتون	1	165.4672	4	661.8688					
AR_22872	كرتون	0.5	88.6821875	2	354.72875					
AR_22873	كرتون	1	186.962491	0	0					
AR_22875	كرتون	4	742.798532	0.5	92.8498165					
AR_22876	كرتون	0.5	92.8498165	0	0					
AR_22877	كرتون	0.5	92.8498165	0	0					
AR_22878	كرتون	2.75	510.6739908	0	0					
AR_22989	كرتون	9.25	888	0	0					
AR_22990	كرتون	0.5	36	0	0					
AR_23003	كرتون	1	40	0	0					
AR_23039	كرتون	7	336	0	0					
AR_23053	كرتون	3.75	180	0	0					
AR_23057	كرتون	1.5	108	0	0					
AR_23058	كرتون	1	72	0	0					
AR_23168	كرتون	0.5	90.298655	0	0					
AR_23170	كرتون	0.75	168.8412278	0	0					
AR_23234	كرتون	1.25	245.1725963	0.5	98.0690385					
AR_23235	كرتون	3.5	865.7514145	2.5	618.3938675					
AR_23236	كرتون	0.75	185.5181603	0	0					
AR_23416	كرتون	2	591.151412	0	0					
AR_23417	كرتون	2	629.935392	0	0					
AR_23418	كرتون	3	992.761413	0	0					
AR_23419	كرتون	3	992.761413	0	0					
AR_23420	كرتون	1	191.419844	0	0					
AR_23451	كرتون	0	0	1	192.131339					
AR_23454	كرتون	2	413.11036	1	206.55518					
AR_23456	كرتون	6.75	1429.649197	6	1270.799286					
AR_23457	كرتون	3.75	636.9075113	5	849.210015					
AR_23458	كرتون	6	1192.86255	4	795.2417					
AR_23461	كرتون	2.5	379.019615	2	303.215692					
AR_23462	كرتون	7	1409.172975	1.5	301.9656375					
AR_23464	كرتون	3.75	823.292385	4	878.178544					
AR_23465	كرتون	0	0	1	236.047095					
AR_23522	كرتون	1	84	0	0					
AR_23548	كرتون	2.5	1157.736463	3.25	1505.057401					
AR_23549	كرتون	3.5	1550.349668	5.25	2325.524502					
AR_23550	كرتون	3.5	1365.396218	6.75	2633.264134					
AR_23551	كرتون	3.25	1235.14442	4.75	1805.211076					
AR_23552	كرتون	3	1230.752229	4.25	1743.565658					
AR_23553	كرتون	2.5	1126.314543	6.25	2815.786356					
AR_23556	كرتون	0.5	213.94414	1.75	748.80449					
AR_23558	كرتون	0.5	195.0566025	0	0					
AR_23559	كرتون	3.5	1576.84036	2.25	1013.683088					
AR_23606	كرتون	0.5	70.464188	0	0					
AR_23653	كرتون	5.5	1051.997205	8	1530.177752					
AR_23654	كرتون	6	1147.633314	6.5	1243.269424					
AR_23655	كرتون	3	573.816657	5.5	1051.997205					
AR_23656	كرتون	3	528.507198	8.5	1497.437061					
AR_23657	كرتون	6	1057.014396	6.5	1145.098929					
AR_23658	كرتون	0	0	1	162.200594					
AR_23659	كرتون	0.75	113.247858	4	603.988576					
AR_23660	كرتون	4	704.676264	3.5	616.591731					
AR_23661	كرتون	6.5	1046.928435	5.5	885.8625215					
AR_23662	كرتون	6	1147.633314	6.5	1243.269424					
AR_23663	كرتون	3	475.594587	1	158.531529					
AR_23664	كرتون	7	1338.905533	7.5	1434.541643					
AR_23665	كرتون	5	943.68917	7.5	1415.533755					
AR_23666	كرتون	7	1250.683462	9	1608.021594					
AR_23667	كرتون	2	417.750742	8.5	1775.440654					
AR_23669	كرتون	6.75	1409.908754	5.5	1148.814541					
AR_23780	كرتون	1	194.885762	0	0					
AR_23853	كرتون	1	230.892836	0	0					
AR_23888	كرتون	7	1559.826093	5	1114.161495					
AR_23907	كرتون	1	152.555921	0	0					
AR_23908	كرتون	3.5	536.2958825	7	1072.591765					
AR_23926	كرتون	11.5	3049.201552	20	5302.95922					
AR_23944	كرتون	0	0	2	401.098138					
AR_23954	كرتون	0	0	2	490.10291					
AR_24250	كرتون	0.5	108.2931755	0	0					
AR_24251	كرتون	0.75	162.4397633	0	0					
AR_24257	كرتون	0	0	1	218.782483					
AR_24259	كرتون	2.5	514.941285	1	205.976514					
AR_24260	كرتون	3.5	720.917799	0	0					
AR_24261	كرتون	3	617.929542	3.5	720.917799					
AR_24262	كرتون	3.5	720.917799	2	411.953028					
AR_24263	كرتون	3.25	669.4236705	0	0					
AR_24264	كرتون	3	617.929542	0	0					
AR_24359	كرتون	0.43	114.1122188	0	0					
AR_24363	كرتون	0.45	119.4197639	0	0					
AR_24380	كرتون	2.75	533.6913973	2	388.139198					
AR_24433	كرتون	0	0	1	160.435851					
AR_24703	كرتون	6	1168.457106	5	973.714255					
AR_24720	كرتون	1	179.94834	0	0					
AR_24725	كرتون	0.5	73.579306	0	0					
AR_24763	كرتون	2.25	540	2.75	660					
AR_24764	كرتون	4.5	1080	3.75	900					
AR_24765	كرتون	5.5	1320	2.75	660					
AR_24784	كرتون	0	0	1	263.533619					
AR_24811	كرتون	7.5	1751.290718	4.25	992.3980733					
AR_24812	كرتون	5.25	1059.540526	7.5	1513.629323					
AR_24813	كرتون	7.5	1852.637303	6	1482.109842					
AR_24814	كرتون	1.5	362.5210215	7.5	1812.605108					
AR_24868	كرتون	4.5	1566.680666	5	1740.756295					
AR_24891	كرتون	0	0	1	184.446273					
AR_24902	كرتون	1	185.060612	1.5	277.590918					
AR_24915	كرتون	1.5	340.0910025	0	0					
AR_25006	كرتون	0	0	1	191.241782					
AR_25044	كرتون	2.5	486.300515	6	1167.121236					
AR_25046	كرتون	7	1181.918962	3	506.536698					
AR_25047	كرتون	2	480.523708	0	0					
AR_25050	كرتون	0.5	130.978809	1	261.957618					
AR_25051	كرتون	6	1994.631486	2.5	831.0964525					
AR_25053	كرتون	2	502.407886	4	1004.815772					
AR_25054	كرتون	7	1515.100426	5	1082.21459					
AR_25058	كرتون	3	404.186385	1	134.728795					
AR_25086	كرتون	4	960.646668	5	1200.808335					
AR_25089	كرتون	8	1789.209144	8.5	1901.034716					
AR_25090	كرتون	0	0	2	305.644588					
AR_25095	كرتون	0	0	3	680.108334					
AR_25097	كرتون	1	247.846295	0	0					
AR_25099	كرتون	3	717.57921	1.5	358.789605					
AR_25103	كرتون	0	0	1	242.897569					
AR_25109	كرتون	9.5	1739.967503	10.5	1923.121977					
AR_25166	كرتون	4	760.304876	6	1140.457314					
AR_25174	كرتون	4.5	994.579974	3	663.053316					
AR_25175	كرتون	4.5	998.5872195	6	1331.449626					
AR_25177	كرتون	5	817.423235	3.5	572.1962645					
AR_25178	كرتون	7	1441.945617	4	823.968924					
AR_25182	كرتون	3	657.308775	0	0					
AR_25195	كرتون	0	0	1	39.379034					
AR_25199	كرتون	3.25	832.781053	2	512.480648					
AR_25200	كرتون	3.25	772.928923	5	1189.12142					
AR_25202	كرتون	9.75	1673.687018	5	858.301035					
AR_25203	كرتون	6.75	1550.566922	4.5	1033.711281					
AR_25204	كرتون	7	1607.995326	6	1378.281708					
AR_25205	كرتون	9	2185.418556	5	1214.12142					
AR_25253	كرتون	4	677.322508	5	846.653135					
AR_25255	كرتون	0	0	4	656.415504					
AR_25265	كرتون	0.875	197.6828884	2.5	564.8082525					
AR_25266	كرتون	0	0	0.5	110.923301					
AR_25267	كرتون	1.5	322.852395	1	215.23493					
AR_25279	كرتون	2.5	480.2630225	0	0					
AR_25286	كرتون	1	197.590527	0	0					
AR_25309	كرتون	2	372.767392	2	372.767392					
AR_25324	كرتون	3	261.557061	4	348.742748					
AR_25335	كرتون	0	0	1	304.674456					
AR_25337	كرتون	0	0	3	437.564967					
AR_25338	كرتون	0	0	1	157.074664					
AR_25501	كرتون	0.5	88.8022125	0	0					
AR_25626	كرتون	3.75	957.3819113	9	2297.716587					
AR_25629	كرتون	2.25	700.9376558	4.5	1401.875312					
AR_25669	كرتون	2.625	771.205428	2	587.585088					
AR_25671	كرتون	1	230	2	460					
AR_25672	كرتون	1.125	289.1768164	2	514.092118					
AR_25673	كرتون	2	280	0	0					
AR_25677	كرتون	2.5	565.35912	1	226.143648					
AR_25682	كرتون	0.75	169.1102903	1	225.480387					
AR_25717	كرتون	0	0	2.25	549.6376478					
AR_25729	كرتون	0	0	1	240.051618					
AR_25768	كرتون	1	255.23249	0	0					
AR_25775	كرتون	3.5	815.9003755	2	466.228786					
AR_25783	كرتون	2	301.51792	2	301.51792					
AR_25784	كرتون	4.5	666.4987215	2	296.221654					
AR_25788	كرتون	2.5625	387.2209945	0	0					
AR_25789	كرتون	1.375	202.7093489	0	0					
AR_25807	كرتون	0	0	1	186.824629					
AR_25815	كرتون	0	0	2	384.325028					
AR_25816	كرتون	0	0	1	195.479527					
AR_25818	كرتون	5	877.027715	5.5	964.7304865					
AR_25919	كرتون	2	328.734222	6	986.202666					
AR_25921	كرتون	5.5	899.3101755	7	1144.576587					
AR_25923	كرتون	7.5	1313.55489	5	875.70326					
AR_25924	كرتون	1	221.50988	4	886.03952					
AR_25926	كرتون	0.35	64.4834855	0	0					
AR_25928	كرتون	6	1052.825172	3	526.412586					
AR_25929	كرتون	4	632.170964	4.5	711.1923345					
AR_25930	كرتون	0.366667	65.10550435	0	0					
AR_25931	كرتون	2.5	395.1068525	5.5	869.2350755					
AR_25932	كرتون	0.75	182.5081958	0	0					
AR_25934	كرتون	6.5	1114.919319	3.5	600.3411715					
AR_25940	كرتون	4.5	1175.992164	2.5	653.32898					
AR_25941	كرتون	6.5	1757.275462	4.5	1216.57532					
AR_25944	كرتون	4.5	585.787662	4	520.700144					
AR_25945	كرتون	4.5	578.05074	3	385.36716					
AR_25946	كرتون	4.5	618.9430095	2.5	343.8572275					
