		مخزون جده		مخزون الرياض						
رقم الصنف	الوحدة	الكميه	التكلفه	الكميه	التكلفه					
OGS_230104	كرتون	0.90007	389.2935375	0.2	86.502947					
OGS_230105	كرتون	0.2	86.502947	0	0					
OGS_230106	كرتون	5.7	2465.33399	0	0					
OGS_230107	كرتون	3.96667	1715.643224	0	0					
OGS_230108	كرتون	3	1297.544205	0.3	129.7544205					
OGS_230109	كرتون	5.5	2378.831043	0.06667	28.83575738					
OGS_230110	كرتون	2	865.02947	0.00068	0.29411002					
OGS_230111	كرتون	0.4	173.005894	0	0					
OGS_230112	كرتون	3	1297.544205	0.00007	0.030276031					
OGS_230113	كرتون	4.8	2076.070728	2.46667	1066.871121					
OGS_230114	كرتون	5	2162.573675	0.93334	403.6833028					
OGS_230115	كرتون	4.36667	1888.649118	0.2	86.502947					
OGS_230116	كرتون	4.36667	1888.649118	3.534	1528.507073					
OGS_230117	كرتون	4.4	1980	0	0					
OGS_230118	كرتون	0.8	346.011788	0.00001	0.004325147					
OGS_230120	كرتون	0.2	107.7220236	0	0					
OGS_230120_48	كرتون	0	0	0.00087	0.41599485					
OGS_230122	كرتون	0	0	0	0					
OGS_230123	كرتون	0.11	59.24711298	0	0					
OGS_25535	كرتون	11	1980	2	360					
OGS_25536	كرتون	14	2520	3	540					
OGS_25537	كرتون	10.5	1890	0	0					
OGS_25538	كرتون	12	2160	2	360					
OGS_25539	كرتون	3	540	0	0					
OGS_25540	كرتون	12.5	2250	2.5	450					
OGS_25541	كرتون	12.5	2250	2	360					
OGS_25542	كرتون	5	900	0	0					
OGS_25543	كرتون	8	1440	2	360					
OGS_25544	كرتون	1	190	0	0					
OGS_25546	كرتون	0.08333	15.8327	0	0					
OGS_25548	كرتون	6.5	1323.199664	2	407.138358					
OGS_25685	كرتون	3	2471.512773	0	0					
OGS_25686	كرتون	1.66667	1373.065398	0	0					
OGS_25688	كرتون	7.66667	6316.090944	0	0					
OGS_25689	كرتون	2.66667	2196.902989	0	0					
OGS_25690	كرتون	9.16667	7551.84733	0	0					
OSG_25550	كرتون	9	1832.122611	2	407.138358					
OSG_25552	كرتون	3.5	712.4921265	2	407.138358					
OSG_25553	كرتون	6	1221.415074	2	407.138358					
OSG_25554	كرتون	8.5	1730.338022	2	407.138358					
OSG_25555	كرتون	12	2156.105724	2	359.350954					
OSG_25556	كرتون	14	2509.423084	2	358.489012					
OSG_25557	كرتون	17	3043.209882	2	358.024692					
OSG_25558	كرتون	7	1260	2	360					
OSG_25559	كرتون	7	1260	2	360					
OSG_25560	كرتون	14	2513.507248	2	359.072464					
OSG_25561	كرتون	18	3227.500008	2	358.611112					
PAG_100024	كرتون	0	0	0.5	64					
