رقم الصنف	اسم الصنف	الوحدة	الكمية المتوفرة	الشد			
AR_22989	اضاءات	كرتون	8.25	96			
AR_23039	صحون تقديم	كرتون	6	72			
AR_23053	صحون تقديم	كرتون	2.75	72			
AR_23168	غطاء مفاتيح كهرباء	كرتون	0.5	72			
AR_23170	مقبض حمايه الباب	كرتون	0.75	72			
AR_23234	مجموعة فلاتر بلاستيك 4 قطع	كرتون	1.25	72			
AR_23235	مجموعه فلاتر + اقماع تعبئة 5 قطع	كرتون	3.5	72			
							
AR_23236	مقادير ملون	كرتون	0.75	72			
AR_23416	صفاية خضار سيليكون	كرتون	2	120			
AR_23417	صفاية خضار سيليكون	كرتون	2	120			
AR_23418	صفاية خضار سيليكون	كرتون	3	144			
AR_23419	صفاية خضار سيليكون	كرتون	3	144			
AR_23420	صفاية خضار	كرتون	1	60			
AR_23454	سكاكين كيك 6 قطع	كرتون	2	72			
AR_23456	ادوات تقطيع معجنات	كرتون	6.75	72			
AR_23457	مخالب مقسم لحم	كرتون	3.75	72			
AR_23458	قالب معمول	كرتون	6	72			
AR_23461	طقم ملاعق 3 حبه	كرتون	2.5	72			
AR_23462	طقم سكين وشوكة أجبان	كرتون	7	72			
AR_23464	مقشره	كرتون	3.75	72			
AR_23548	ادوات تقشير مطبخ 2 حبة	كرتون	2.5	144			
AR_23549	ادوات تقشير مطبخ 2 حبة	كرتون	3.5	144			
AR_23550	ادوات تقشير مطبخ 2 حبة	كرتون	3.5	144			
AR_23551	ادوات تقطيع مطبخ 2 حبة	كرتون	3.25	144			
AR_23552	ادوات تقشير مطبخ 2 حبة	كرتون	3	144			
AR_23553	ادوات تقطيع مطبخ 2 حبة	كرتون	2.5	144			
AR_23556	ادوات تقطيع مطبخ 2 حبة	كرتون	0.5	144			
AR_23558	ادوات مطبخ حفار 2 حبة	كرتون	0.5	144			
AR_23559	ادوات مطبخ تقطيع 2 حبة	كرتون	3.5	144			
AR_23606	صحون تقديم استيل نقشه	كرتون	0.5	72			
AR_23653	 ملعقة تقليب سمك	كرتون	5.5	72			
AR_23654	قطاعه جبن استيل	كرتون	6	72			
AR_23655	مبشره استيل ناعم	كرتون	3	72			
AR_23656	مبشره استيل وسط	كرتون	3	72			
AR_23657	مبشره استيل جبن	كرتون	6	72			
AR_23659	حفار كوسه استيل	كرتون	0.75	72			
AR_23660	قطاعه بيتزاء استيل	كرتون	4	72			
AR_23661	قطاعه معجنات استيل	كرتون	6.5	72			
AR_23662	قطاعه معجنات وبيتزاء استيل	كرتون	6	72			
AR_23663	حفار محشي استيل	كرتون	3	72			
AR_23664	ملعقه تقطيع وتقديم الكيك	كرتون	7	72			
AR_23665	ملعقه تقطيع وتقديم كيك	كرتون	5	72			
AR_23666	صفار البيض استيل	كرتون	7	72			
AR_23667	قشاره بطاط استيل	كرتون	2	72			
AR_23669	عده تزيين الكيك	كرتون	6.75	72			
AR_23780	استاند دولاب مطبخ	كرتون	1	72			
AR_23853	علب هدايا	كرتون	1	72			
AR_23888	 لصق شبك للنوافذ	كرتون	7	72			
AR_23908	 لصق مكتبيات ملون لماع 4 حبات	كرتون	3.5	48			
